-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
1.92,-36.9,-7.74,4.07,5.76,4.35,-3.86,0.786,-3.22,-16.2,-13.7,-11.6,-9.42,0
3.53,-35.7,-10.4,-8.16,-21.6,8.65,3.14,0.474,5.09,-0.592,5.97,-10.3,-6.52,0
1.07,-46.4,-23.6,0.312,8.52,9.73,-13.3,-7.08,-18.0,13.6,-13.0,6.4,10.1,0
3.58,-42.8,-15.9,9.83,-4.93,-2.28,5.38,-4.95,-8.78,-6.61,-15.9,-14.2,-0.0949,0
3.71,-31.0,-12.8,-9.79,-5.2,9.45,4.82,-6.16,-8.51,-7.51,8.53,16.3,-6.23,0
2.37,-37.0,-16.8,-0.987,13.3,-14.4,-23.2,-5.53,-6.06,-9.92,-1.1,-1.93,2.77,0
3.24,-26.6,-11.1,0.79,-1.88,-0.0761,2.09,-3.84,-0.0854,8.79,0.882,-2.59,-0.0534,0
3.37,-27.5,-8.68,4.29,-0.527,5.79,2.63,-4.16,7.69,5.4,7.59,-0.564,3.34,0
1.48,-27.3,4.16,11.7,-2.19,-1.68,-15.8,2.55,6.96,11.4,-1.35,-1.07,3.6,0
3.16,-21.5,-7.43,8.74,15.6,2.5,9.98,-5.1,3.64,10.1,-12.5,2.94,4.15,0
3.02,-39.2,-6.36,12.4,-10.2,-7.97,11.5,-5.58,-3.79,-7.69,15.2,0.0277,5.08,0
3.21,-29.5,-3.83,5.02,-0.983,15.0,3.14,-3.54,-0.489,5.71,15.2,-4.78,-4.87,0
1.76,-33.7,-8.55,-3.64,-1.47,-10.2,-9.36,13.6,5.09,-5.92,-5.69,-8.68,2.7,0
3.64,-28.2,-11.4,12.0,-5.28,8.81,8.84,-23.0,2.22,-1.22,9.46,2.55,-23.9,0
2.79,-18.0,-5.44,-2.25,-9.51,-11.9,15.6,12.6,6.35,-14.8,-7.9,1.96,0.291,0
1.58,-43.0,-6.48,-22.8,-24.7,-19.2,-15.8,-2.51,-0.906,-7.17,0.804,-11.1,-12.1,0
0.664,-36.7,-4.64,4.3,-16.9,-19.2,-7.72,25.5,-7.5,-15.8,4.09,3.55,-0.412,0
0.0828,-8.07,13.6,11.7,2.94,-18.4,-12.7,11.0,7.93,-13.1,0.949,7.87,-6.45,0
3.44,-22.3,-8.65,6.4,3.67,-13.2,-4.98,-3.8,10.2,2.89,-2.18,-4.71,-11.3,0
0.664,-31.1,-7.87,-15.3,-19.3,22.9,-27.3,2.13,9.14,-7.58,-3.97,6.29,-0.843,0
1.07,-39.3,-7.26,9.11,8.48,-4.57,-21.1,-22.5,6.18,17.5,3.52,-13.3,-0.831,0
3.25,-30.6,-5.14,10.5,0.654,0.895,-10.2,-14.8,-10.2,-7.94,13.7,-15.0,-11.5,0
2.46,-39.9,-6.39,-5.23,-1.54,14.8,0.399,8.1,-13.4,-6.32,-11.5,-12.5,-12.1,0
1.07,-31.4,-15.7,1.15,4.35,-2.5,4.42,-7.65,5.57,-11.5,-8.92,0.0188,2.55,0
0.899,-17.2,-1.4,-8.92,-15.2,-26.6,-8.63,20.7,14.7,5.87,18.5,3.67,-2.84,0
